species_name	surface_name	formation_energy	frequencies	reference
OH_s	Co	-0.41	[3788.1,898.4,504.0,128.3,127.2,127.0]	ACS Catal. 2021, 11, 23, 14545–14560
OH_s	Fe	-0.77	[3788.1,898.4,504.0,128.3,127.2,127.0]	ACS Catal. 2021, 11, 23, 14545–14560
OH_s	Pt	0.73	[3788.1,898.4,504.0,128.3,127.2,127.0]	ACS Catal. 2021, 11, 23, 14545–14560
OH_s	Pd	0.66	[3788.1,898.4,504.0,128.3,127.2,127.0]	ACS Catal. 2021, 11, 23, 14545–14560
OH_s	Ru	-0.25	[3788.1,898.4,504.0,128.3,127.2,127.0]	ACS Catal. 2021, 11, 23, 14545–14560
OH_s	Rh	-0.01	[3788.1,898.4,504.0,128.3,127.2,127.0]	ACS Catal. 2021, 11, 23, 14545–14560
OH_s	Ni	-0.16	[3788.1,898.4,504.0,128.3,127.2,127.0]	ACS Catal. 2021, 11, 23, 14545–14560
OH_s	Cu	0.45	[3788.1,898.4,504.0,128.3,127.2,127.0]	ACS Catal. 2021, 11, 23, 14545–14560
COH_s	Co	1.74	[3742.5,1244.1,1087.0,510.1,476.3,404.2,200.4,198.7,166.6]	ACS Catal. 2021, 11, 23, 14545–14560
COH_s	Fe	1.16	[3742.5,1244.1,1087.0,510.1,476.3,404.2,200.4,198.7,166.6]	ACS Catal. 2021, 11, 23, 14545–14560
COH_s	Pt	1.41	[3742.5,1244.1,1087.0,510.1,476.3,404.2,200.4,198.7,166.6]	ACS Catal. 2021, 11, 23, 14545–14560
COH_s	Pd	1.66	[3742.5,1244.1,1087.0,510.1,476.3,404.2,200.4,198.7,166.6]	ACS Catal. 2021, 11, 23, 14545–14560
COH_s	Ru	1.2	[3742.5,1244.1,1087.0,510.1,476.3,404.2,200.4,198.7,166.6]	ACS Catal. 2021, 11, 23, 14545–14560
COH_s	Rh	1.25	[3742.5,1244.1,1087.0,510.1,476.3,404.2,200.4,198.7,166.6]	ACS Catal. 2021, 11, 23, 14545–14560
COH_s	Ni	1.8	[3742.5,1244.1,1087.0,510.1,476.3,404.2,200.4,198.7,166.6]	ACS Catal. 2021, 11, 23, 14545–14560
COH_s	Cu	2.75	[3742.5,1244.1,1087.0,510.1,476.3,404.2,200.4,198.7,166.6]	ACS Catal. 2021, 11, 23, 14545–14560
HCO_s	Co	1.68	[2878.0,1689.8,1190.0,809.9,566.4,302.7,129.3,126.7,125.0]	ACS Catal. 2021, 11, 23, 14545–14560
HCO_s	Fe	1.29	[2878.0,1689.8,1190.0,809.9,566.4,302.7,129.3,126.7,125.0]	ACS Catal. 2021, 11, 23, 14545–14560
HCO_s	Pt	1.46	[2878.0,1689.8,1190.0,809.9,566.4,302.7,129.3,126.7,125.0]	ACS Catal. 2021, 11, 23, 14545–14560
HCO_s	Pd	1.63	[2878.0,1689.8,1190.0,809.9,566.4,302.7,129.3,126.7,125.0]	ACS Catal. 2021, 11, 23, 14545–14560
HCO_s	Ru	1.32	[2878.0,1689.8,1190.0,809.9,566.4,302.7,129.3,126.7,125.0]	ACS Catal. 2021, 11, 23, 14545–14560
HCO_s	Rh	1.35	[2878.0,1689.8,1190.0,809.9,566.4,302.7,129.3,126.7,125.0]	ACS Catal. 2021, 11, 23, 14545–14560
HCO_s	Ni	1.72	[2878.0,1689.8,1190.0,809.9,566.4,302.7,129.3,126.7,125.0]	ACS Catal. 2021, 11, 23, 14545–14560
